source	mtime_jst	size_bytes	archived_path	original_path
codex	2026-05-28 16:20:00 JST	228482	sessions/2026-05-28/codex/rollout-2026-05-28T16-10-39-019e6d6b-c1dc-7bc0-956f-95d5bd938562.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-10-39-019e6d6b-c1dc-7bc0-956f-95d5bd938562.jsonl
codex	2026-05-28 16:20:01 JST	171431	sessions/2026-05-28/codex/rollout-2026-05-28T16-17-21-019e6d71-e5df-7b43-b7fd-75ec8bf2ed09.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-17-21-019e6d71-e5df-7b43-b7fd-75ec8bf2ed09.jsonl
codex	2026-05-28 16:35:21 JST	104399	sessions/2026-05-28/codex/rollout-2026-05-28T16-21-52-019e6d76-07bd-7ab2-9f05-f33d7a0ea19b.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-21-52-019e6d76-07bd-7ab2-9f05-f33d7a0ea19b.jsonl
codex	2026-05-28 16:30:00 JST	282573	sessions/2026-05-28/codex/rollout-2026-05-28T16-22-37-019e6d76-b772-7bc1-b34d-025ebc8cae4e.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-22-37-019e6d76-b772-7bc1-b34d-025ebc8cae4e.jsonl
codex	2026-05-28 16:35:58 JST	199284	sessions/2026-05-28/codex/rollout-2026-05-28T16-23-59-019e6d77-f887-7521-b003-bf453f92bd14.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-23-59-019e6d77-f887-7521-b003-bf453f92bd14.jsonl
codex	2026-05-28 17:04:00 JST	945985	sessions/2026-05-28/codex/rollout-2026-05-28T16-24-46-019e6d78-aec1-7cb1-b406-c384f016229b.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-24-46-019e6d78-aec1-7cb1-b406-c384f016229b.jsonl
codex	2026-05-28 17:08:33 JST	1627531	sessions/2026-05-28/codex/rollout-2026-05-28T16-26-22-019e6d7a-25ff-7200-8db6-80e1ac82d7b8.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-26-22-019e6d7a-25ff-7200-8db6-80e1ac82d7b8.jsonl
codex	2026-05-28 17:15:52 JST	375634	sessions/2026-05-28/codex/rollout-2026-05-28T16-33-44-019e6d80-e3bb-79d3-9f40-409708dc75ec.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-33-44-019e6d80-e3bb-79d3-9f40-409708dc75ec.jsonl
codex	2026-05-28 16:59:41 JST	454827	sessions/2026-05-28/codex/rollout-2026-05-28T16-35-02-019e6d82-153e-7aa1-89bc-b1100ca9d2cc.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-35-02-019e6d82-153e-7aa1-89bc-b1100ca9d2cc.jsonl
codex	2026-05-28 16:47:12 JST	533991	sessions/2026-05-28/codex/rollout-2026-05-28T16-36-01-019e6d82-fcb6-7b83-9052-c1e33beef409.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-36-01-019e6d82-fcb6-7b83-9052-c1e33beef409.jsonl
codex	2026-05-28 17:16:41 JST	854296	sessions/2026-05-28/codex/rollout-2026-05-28T16-40-49-019e6d87-614d-7060-8d08-6f9ae26f8a3d.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-40-49-019e6d87-614d-7060-8d08-6f9ae26f8a3d.jsonl
codex	2026-05-28 16:51:59 JST	352561	sessions/2026-05-28/codex/rollout-2026-05-28T16-42-08-019e6d88-96f1-7a13-93e1-5369296f611d.jsonl	/home/gszep/.codex/sessions/2026/05/28/rollout-2026-05-28T16-42-08-019e6d88-96f1-7a13-93e1-5369296f611d.jsonl
